"Município","ibge","latitude","longitude","/Segurança/Ind...micídio Doloso 2012 (-)"
"Putinga","4315206","-29.004500000000","-52.156900000000","1"
"Quaraí","4315305","-30.384000000000","-56.448300000000","5"
"Rio Grande","4315602","-32.034900000000","-52.107100000000","27"
"Rio Pardo","4315701","-29.988000000000","-52.371099999990","2"
"Riozinho","4315750","-29.638999999990","-50.448799999990","1"
"Roca Sales","4315800","-29.288399999990","-51.865800000000","1"
"Rodeio Bonito","4315909","-27.474200000000","-53.170600000000","2"
"Rolante","4316006","-29.646200000000","-50.581899999990","7"
"Ronda Alta","4316105","-27.775800000000","-52.805599999990","1"
"Rondinha","4316204","-27.831499999990","-52.908099999990","1"
"Roque Gonzales","4316303","-28.129700000000","-55.026600000000","1"
"Rosário do Sul","4316402","-30.251500000000","-54.922100000000","1"
"Salto do Jacuí","4316451","-29.095099999990","-53.213299999990","3"
"Santa Bárbara do Sul","4316709","-28.365300000000","-53.250999999990","2"
"Santa Cruz do Sul","4316808","-29.722000000000","-52.434300000000","15"
"Santa Maria","4316907","-29.686800000000","-53.814999999990","29"
"Santa Rosa","4317202","-27.870200000000","-54.479599999990","4"
"Santa Vitória do Palmar","4317301","-33.524999999990","-53.371699999990","2"
"Santana da Boa Vista","4317004","-30.869700000000","-53.109999999990","1"
"Santana do Livramento","4317103","-30.887699999990","-55.531500000000","8"
"Santiago","4317400","-29.189699999990","-54.866599999990","5"
"Santo Ângelo","4317509","-28.300100000000","-54.266800000000","9"
"Santo Antônio da Patrulha","4317608","-29.826799999990","-50.517499999990","2"
"Santo Augusto","4317806","-27.852599999990","-53.777600000000","1"
"Santo Cristo","4317905","-27.826300000000","-54.661999999990","1"
"São Borja","4318002","-28.657800000000","-56.003599999990","8"
"São Francisco de Assis","4318101","-29.554700000000","-55.125300000000","3"
"São Gabriel","4318309","-30.333700000000","-54.321700000000","4"
"São Jerônimo","4318408","-29.971599999990","-51.725099999990","4"
"São José do Norte","4318507","-32.015099999990","-52.033099999990","3"
"São Leopoldo","4318705","-29.754500000000","-51.149799999990","70"
"São Lourenço do Sul","4318804","-31.356400000000","-51.971499999990","2"
"São Luiz Gonzaga","4318903","-28.411999999990","-54.955900000000","6"
"São Marcos","4319000","-28.967700000000","-51.069600000000","3"
"São Martinho","4319109","-27.711200000000","-53.969900000000","1"
"São Nicolau","4319208","-28.183399999990","-55.265400000000","1"
"São Pedro do Sul","4319406","-29.620200000000","-54.185499999990","5"
"São Valentim","4319703","-27.558299999990","-52.523699999990","1"
"São Vicente do Sul","4319802","-29.688199999990","-54.682600000000","1"
"Sapiranga","4319901","-29.634899999990","-51.006500000000","10"
"Sapucaia do Sul","4320008","-29.827600000000","-51.145000000000","31"
"Sarandi","4320107","-27.942000000000","-52.923099999990","5"
"Seberi","4320206","-27.482900000000","-53.402600000000","1"
"Sinimbu","4320677","-29.535699999990","-52.530500000000","3"
"Sobradinho","4320701","-29.419400000000","-53.032600000000","2"
"Soledade","4320800","-28.830600000000","-52.513100000000","4"
"Tapejara","4320909","-28.065200000000","-52.009700000000","1"
"Tapera","4321006","-28.627700000000","-52.861199999990","1"
"Tapes","4321105","-30.668299999990","-51.399099999990","2"
"Taquara","4321204","-29.650500000000","-50.775300000000","11"
"Taquari","4321303","-29.794300000000","-51.865299999990","1"
"Tenente Portela","4321402","-27.371099999990","-53.758499999990","4"
"Torres","4321501","-29.333400000000","-49.733300000000","9"
"Tramandaí","4321600","-29.984100000000","-50.132199999990","15"
"Três Cachoeiras","4321667","-29.448699999990","-49.927500000000","1"
"Três Coroas","4321709","-29.513700000000","-50.773899999990","2"
"Três de Maio","4321808","-27.780000000000","-54.235700000000","4"
"Três Palmeiras","4321857","-27.613900000000","-52.843699999990","1"
"Três Passos","4321907","-27.455500000000","-53.929600000000","1"
"Trindade do Sul","4321956","-27.523900000000","-52.895600000000","1"
"Tunas","4322152","-29.103899999990","-52.953800000000","1"
"Tupanciretã","4322202","-29.085799999990","-53.844499999990","1"
"Uruguaiana","4322400","-29.761399999990","-57.085299999990","18"
"Vacaria","4322509","-28.507899999990","-50.941800000000","12"
"Vale do Sol","4322533","-29.596699999990","-52.683900000000","2"
"Vale Real","4322541","-29.391900000000","-51.255899999990","1"
"Venâncio Aires","4322608","-29.614300000000","-52.193199999990","3"
"Vera Cruz","4322707","-29.718399999990","-52.515200000000","4"
"Vespasiano Correa","4322855","-29.065500000000","-51.862500000000","1"
"Viamão","4323002","-30.081900000000","-51.019399999990","103"
"Vicente Dutra","4323101","-27.160799999990","-53.402200000000","3"
"Xangri-lá","4323804","-29.806500000000","-50.051900000000","4"
